model,recall_at_precision_1,precision_at_recall_1,max_f1_score,optimal_threshold
CatBoost_sss_MinMaxScaler_unsmote_unweighted,0.72,0.7957559681697612,0.9655172413293213,0.3777052547406289
CatBoost_sss_StandardScaler_unsmote_unweighted,0.72,0.7957559681697612,0.9655172413293213,0.3777052547406289
CatBoost_sss_MaxAbsScaler_unsmote_unweighted,0.72,0.7957559681697612,0.9655172413293213,0.3777052547406289
RandomForest150_sss_MinMaxScaler_unsmote_weighted,0.45666666666666667,0.8403361344537815,0.9674267100477458,0.44666666666666666
RandomForest150_sss_MinMaxScaler_unsmote_unweighted,0.43333333333333335,0.7537688442211056,0.9630872482721499,0.49333333333333335
CatBoost_skf_MinMaxScaler_unsmote_unweighted,0.8266666666666667,0.75,0.9719008263962844,0.40010924926029984
CatBoost_skf_StandardScaler_unsmote_unweighted,0.8266666666666667,0.75,0.9719008263962844,0.40010924926029984
CatBoost_skf_MaxAbsScaler_unsmote_unweighted,0.8266666666666667,0.75,0.9719008263962844,0.40010924926029984
CatBoost_sss_MinMaxScaler_unsmote_weighted,0.7066666666666667,0.7772020725388601,0.9765886287125425,0.5560666896926394
CatBoost_sss_StandardScaler_unsmote_weighted,0.7066666666666667,0.7772020725388601,0.9765886287125425,0.5560666896926394
CatBoost_sss_MaxAbsScaler_unsmote_weighted,0.7066666666666667,0.7772020725388601,0.9765886287125425,0.5560666896926394
RandomForest150_skf_MinMaxScaler_unsmote_unweighted,0.6833333333333333,0.7425742574257426,0.9592169656922737,0.44666666666666666
CatBoost_skf_MinMaxScaler_unsmote_weighted,0.8366666666666667,0.7731958762886598,0.9719934101641746,0.429213815583199
CatBoost_skf_StandardScaler_unsmote_weighted,0.8366666666666667,0.7731958762886598,0.9719934101641746,0.429213815583199
CatBoost_skf_MaxAbsScaler_unsmote_weighted,0.8366666666666667,0.7731958762886598,0.9719934101641746,0.429213815583199
RandomForest150_skf_MaxAbsScaler_unsmote_weighted,0.66,0.7653061224489796,0.9619834710243836,0.4666666666666667
RandomForest150_skf_StandardScaler_unsmote_unweighted,0.7333333333333333,0.7444168734491315,0.9602649006122538,0.4666666666666667
RandomForest150_sss_StandardScaler_unsmote_weighted,0.2733333333333333,0.847457627118644,0.9657422511735134,0.4533333333333333
RandomForest150_skf_StandardScaler_unsmote_weighted,0.6433333333333333,0.746268656716418,0.965174129303235,0.4866666666666667
RandomForest150_tt_MinMaxScaler_unsmote_unweighted,0.3593220338983051,0.9076923076923077,0.9698996655018485,0.4866666666666667
RandomForest150_skf_MaxAbsScaler_unsmote_unweighted,0.7,0.7142857142857143,0.9657422511735134,0.44
CatBoost_tt_MinMaxScaler_unsmote_unweighted,0.5084745762711864,0.8912386706948641,0.9698996655018485,0.43490011076268326
CatBoost_tt_StandardScaler_unsmote_unweighted,0.5084745762711864,0.8912386706948641,0.9698996655018485,0.43490011076268326
CatBoost_tt_MaxAbsScaler_unsmote_unweighted,0.5084745762711864,0.8912386706948641,0.9698996655018485,0.43490011076268326
LGBM_sss_StandardScaler_unsmote_weighted,0.78,0.6521739130434783,0.9701986754466909,0.4436760197558882
LGBM_sss_StandardScaler_unsmote_unweighted,0.78,0.6521739130434783,0.9701986754466909,0.4436760197558882
LGBM_skf_MinMaxScaler_unsmote_weighted,0.7633333333333333,0.8849557522123894,0.9684908788886415,0.4958118285978793
LGBM_skf_MinMaxScaler_unsmote_unweighted,0.7633333333333333,0.8849557522123894,0.9684908788886415,0.4958118285978793
LGBM_skf_StandardScaler_unsmote_weighted,0.7633333333333333,0.8849557522123894,0.9684908788886415,0.4958118285978791
LGBM_skf_StandardScaler_unsmote_unweighted,0.7633333333333333,0.8849557522123894,0.9684908788886415,0.4958118285978791
LGBM_skf_MaxAbsScaler_unsmote_weighted,0.7633333333333333,0.8849557522123894,0.9684908788886415,0.4958118285978793
LGBM_skf_MaxAbsScaler_unsmote_unweighted,0.7633333333333333,0.8849557522123894,0.9684908788886415,0.4958118285978793
LGBM_tt_MinMaxScaler_unsmote_weighted,0.6983050847457627,0.8805970149253731,0.969999999950014,0.3816334973287819
LGBM_tt_MinMaxScaler_unsmote_unweighted,0.6983050847457627,0.8805970149253731,0.969999999950014,0.3816334973287819
LGBM_tt_StandardScaler_unsmote_weighted,0.6983050847457627,0.8805970149253731,0.969999999950014,0.3816334973287814
LGBM_tt_StandardScaler_unsmote_unweighted,0.6983050847457627,0.8805970149253731,0.969999999950014,0.3816334973287814
LGBM_tt_MaxAbsScaler_unsmote_weighted,0.6983050847457627,0.8805970149253731,0.969999999950014,0.3816334973287819
LGBM_tt_MaxAbsScaler_unsmote_unweighted,0.6983050847457627,0.8805970149253731,0.969999999950014,0.3816334973287819
RandomForest150_sss_MaxAbsScaler_unsmote_weighted,0.34,0.8152173913043478,0.9593495934459647,0.46
LogisticRegression_sss_MinMaxScaler_unsmote_weighted,0.7866666666666666,0.4032258064516129,0.9645868464930085,0.5471902724341452
LogisticRegression_sss_MinMaxScaler_unsmote_unweighted,0.7866666666666666,0.4032258064516129,0.9645868464930085,0.5471902724341452
LogisticRegression_sss_MaxAbsScaler_unsmote_weighted,0.7866666666666666,0.4032258064516129,0.9645868464930085,0.5471970012036439
LogisticRegression_sss_MaxAbsScaler_unsmote_unweighted,0.7866666666666666,0.4032258064516129,0.9645868464930085,0.5471970012036439
RandomForest150_tt_MaxAbsScaler_unsmote_unweighted,0.5016949152542373,0.8038147138964578,0.9632107022911459,0.4866666666666667
LGBM_skf_MinMaxScaler_smote_weighted,0.57,0.8086253369272237,0.9750415972877705,0.6552141638684045
LGBM_skf_MinMaxScaler_smote_unweighted,0.57,0.8086253369272237,0.9750415972877705,0.6552141638684045
LGBM_skf_StandardScaler_smote_weighted,0.6033333333333334,0.8426966292134831,0.9785123966442183,0.5736960095089766
LGBM_skf_StandardScaler_smote_unweighted,0.6033333333333334,0.8426966292134831,0.9785123966442183,0.5736960095089766
LGBM_skf_MaxAbsScaler_smote_weighted,0.57,0.8086253369272237,0.9750415972877705,0.6552141638684045
LGBM_skf_MaxAbsScaler_smote_unweighted,0.57,0.8086253369272237,0.9750415972877705,0.6552141638684045
RandomForest150_skf_MinMaxScaler_unsmote_weighted,0.6933333333333334,0.6342494714587738,0.9623567920940425,0.4533333333333333
RandomForest150_sss_StandardScaler_unsmote_unweighted,0.23333333333333334,0.7334963325183375,0.9642857142357482,0.44
RandomForest150_tt_StandardScaler_unsmote_unweighted,0.4576271186440678,0.8912386706948641,0.9595959595459618,0.49333333333333335
LogisticRegression_skf_MinMaxScaler_unsmote_weighted,0.17,0.847457627118644,0.9652892561483506,0.5003200852162093
LogisticRegression_skf_MinMaxScaler_unsmote_unweighted,0.17,0.847457627118644,0.9652892561483506,0.5003200852162093
LogisticRegression_skf_MaxAbsScaler_unsmote_weighted,0.17,0.847457627118644,0.9652892561483506,0.5003438599699042
LogisticRegression_skf_MaxAbsScaler_unsmote_unweighted,0.17,0.847457627118644,0.9652892561483506,0.5003438599699042
CatBoost_tt_MinMaxScaler_unsmote_weighted,0.488135593220339,0.8702064896755162,0.9730639730139754,0.5404274105225748
CatBoost_tt_StandardScaler_unsmote_weighted,0.488135593220339,0.8702064896755162,0.9730639730139754,0.5404274105225748
CatBoost_tt_MaxAbsScaler_unsmote_weighted,0.488135593220339,0.8702064896755162,0.9730639730139754,0.5404274105225748
LGBM_sss_MinMaxScaler_unsmote_weighted,0.8166666666666667,0.6993006993006993,0.9735099337248365,0.530219779813943
LGBM_sss_MinMaxScaler_unsmote_unweighted,0.8166666666666667,0.6993006993006993,0.9735099337248365,0.530219779813943
LGBM_sss_MaxAbsScaler_unsmote_weighted,0.8166666666666667,0.6993006993006993,0.9735099337248365,0.530219779813943
LGBM_sss_MaxAbsScaler_unsmote_unweighted,0.8166666666666667,0.6993006993006993,0.9735099337248365,0.530219779813943
RandomForest150_sss_MaxAbsScaler_unsmote_unweighted,0.35333333333333333,0.7371007371007371,0.9606557376549315,0.46
RandomForest150_tt_StandardScaler_unsmote_weighted,0.43050847457627117,0.8263305322128851,0.9669966996200018,0.44666666666666666
LogisticRegression_skf_StandardScaler_unsmote_weighted,0.19,0.31088082901554404,0.9531772574750841,0.6371175423152288
LogisticRegression_skf_StandardScaler_unsmote_unweighted,0.19,0.31088082901554404,0.9531772574750841,0.6371175423152288
RandomForest150_tt_MinMaxScaler_unsmote_weighted,0.44745762711864406,0.855072463768116,0.9619834710244108,0.4533333333333333
RandomForest150_tt_MaxAbsScaler_unsmote_weighted,0.41694915254237286,0.9021406727828746,0.9650582362228953,0.48
RandomForest150_sss_StandardScaler_smote_unweighted,0.23333333333333334,0.7772020725388601,0.970394736792114,0.5266666666666666
LogisticRegression_sss_StandardScaler_unsmote_weighted,0.6366666666666667,0.39215686274509803,0.9632107022911377,0.6713434910722198
LogisticRegression_sss_StandardScaler_unsmote_unweighted,0.6366666666666667,0.39215686274509803,0.9632107022911377,0.6713434910722198
LGBM_sss_MinMaxScaler_smote_weighted,0.6566666666666666,0.591715976331361,0.9654036243322143,0.568740469312487
LGBM_sss_MinMaxScaler_smote_unweighted,0.6566666666666666,0.591715976331361,0.9654036243322143,0.568740469312487
LGBM_sss_StandardScaler_smote_weighted,0.6566666666666666,0.591715976331361,0.9654036243322143,0.5687404693124868
LGBM_sss_StandardScaler_smote_unweighted,0.6566666666666666,0.591715976331361,0.9654036243322143,0.5687404693124868
LGBM_sss_MaxAbsScaler_smote_weighted,0.6566666666666666,0.591715976331361,0.9654036243322143,0.568740469312487
LGBM_sss_MaxAbsScaler_smote_unweighted,0.6566666666666666,0.591715976331361,0.9654036243322143,0.568740469312487
RandomForest150_sss_MaxAbsScaler_smote_weighted,0.11666666666666667,0.7075471698113207,0.9658536584866151,0.4866666666666667
RandomForest150_sss_StandardScaler_smote_weighted,0.25333333333333335,0.7792207792207793,0.9667774085878744,0.5466666666666666
RandomForest150_sss_MinMaxScaler_smote_weighted,0.13,0.7058823529411765,0.9673202613879277,0.52
RandomForest150_skf_MaxAbsScaler_smote_unweighted,0.7133333333333334,0.746268656716418,0.970394736792114,0.54
RandomForest150_sss_MinMaxScaler_smote_unweighted,0.13666666666666666,0.6976744186046512,0.9691056910069402,0.52
RandomForest150_skf_MinMaxScaler_smote_unweighted,0.62,0.7371007371007371,0.9688013135789106,0.52
RandomForest150_skf_MaxAbsScaler_smote_weighted,0.53,0.7299270072992701,0.9671052631079033,0.5466666666666666
LogisticRegression_tt_StandardScaler_unsmote_weighted,0.061016949152542375,0.4244604316546763,0.9569536423341328,0.40750548564727296
LogisticRegression_tt_StandardScaler_unsmote_unweighted,0.061016949152542375,0.4244604316546763,0.9569536423341328,0.40750548564727296
RandomForest150_sss_MaxAbsScaler_smote_unweighted,0.19333333333333333,0.7228915662650602,0.9622331690797317,0.5133333333333333
LogisticRegression_tt_MinMaxScaler_unsmote_weighted,0.1694915254237288,0.5305755395683454,0.9546218486894994,0.5302026960706125
LogisticRegression_tt_MinMaxScaler_unsmote_unweighted,0.1694915254237288,0.5305755395683454,0.9546218486894994,0.5302026960706125
LogisticRegression_tt_MaxAbsScaler_unsmote_weighted,0.1694915254237288,0.5305755395683454,0.9546218486894994,0.5302060678598389
LogisticRegression_tt_MaxAbsScaler_unsmote_unweighted,0.1694915254237288,0.5305755395683454,0.9546218486894994,0.5302060678598389
RandomForest150_skf_StandardScaler_smote_weighted,0.69,0.704225352112676,0.9585406301324224,0.5533333333333333
RandomForest150_skf_StandardScaler_smote_unweighted,0.76,0.8130081300813008,0.9611650484937317,0.4866666666666667
RandomForest150_tt_MaxAbsScaler_smote_unweighted,0.4271186440677966,0.899390243902439,0.9618573797178508,0.5133333333333333
LGBM_tt_MinMaxScaler_smote_weighted,0.6779661016949152,0.8676470588235294,0.9619834710244108,0.5540049022359039
LGBM_tt_MinMaxScaler_smote_unweighted,0.6779661016949152,0.8676470588235294,0.9619834710244108,0.5540049022359039
LGBM_tt_MaxAbsScaler_smote_weighted,0.6779661016949152,0.8676470588235294,0.9619834710244108,0.5540049022359039
LGBM_tt_MaxAbsScaler_smote_unweighted,0.6779661016949152,0.8676470588235294,0.9619834710244108,0.5540049022359039
CatBoost_skf_MinMaxScaler_smote_unweighted,0.7033333333333334,0.8379888268156425,0.9683860232445093,0.6250136156977404
CatBoost_skf_StandardScaler_smote_unweighted,0.7033333333333334,0.8379888268156425,0.9683860232445093,0.6250136156977404
CatBoost_skf_MaxAbsScaler_smote_unweighted,0.7033333333333334,0.8379888268156425,0.9683860232445093,0.6250136156977404
LogisticRegression_tt_StandardScaler_smote_weighted,0.07457627118644068,0.4125874125874126,0.9478991596138691,0.6135705957799398
LogisticRegression_tt_StandardScaler_smote_unweighted,0.07457627118644068,0.4125874125874126,0.9478991596138691,0.6135705957799398
RandomForest150_tt_StandardScaler_smote_unweighted,0.2847457627118644,0.855072463768116,0.9617304492012646,0.5466666666666666
RandomForest150_tt_StandardScaler_smote_weighted,0.4033898305084746,0.8805970149253731,0.9605263157395175,0.5133333333333333
RandomForest150_skf_MinMaxScaler_smote_weighted,0.6,0.7518796992481203,0.9612903225306971,0.4866666666666667
LGBM_tt_StandardScaler_smote_weighted,0.7152542372881356,0.8575581395348837,0.9642248721816878,0.738310714881931
LGBM_tt_StandardScaler_smote_unweighted,0.7152542372881356,0.8575581395348837,0.9642248721816878,0.738310714881931
RandomForest150_tt_MinMaxScaler_smote_weighted,0.6338983050847458,0.913312693498452,0.9582637729049361,0.5466666666666666
CatBoost_skf_MinMaxScaler_smote_weighted,0.7066666666666667,0.7894736842105263,0.9747899159163901,0.718492143506472
CatBoost_skf_StandardScaler_smote_weighted,0.7066666666666667,0.7894736842105263,0.9747899159163901,0.718492143506472
CatBoost_skf_MaxAbsScaler_smote_weighted,0.7066666666666667,0.7894736842105263,0.9747899159163901,0.718492143506472
CatBoost_sss_MinMaxScaler_smote_unweighted,0.71,0.7177033492822966,0.97171381026614,0.6875796810756211
CatBoost_sss_StandardScaler_smote_unweighted,0.71,0.7177033492822966,0.97171381026614,0.6875796810756211
CatBoost_sss_MaxAbsScaler_smote_unweighted,0.71,0.7177033492822966,0.97171381026614,0.6875796810756211
RandomForest150_tt_MinMaxScaler_smote_unweighted,0.47796610169491527,0.921875,0.9593495934460176,0.49333333333333335
RandomForest150_tt_MaxAbsScaler_smote_weighted,0.4271186440677966,0.8676470588235294,0.9565217390804437,0.5533333333333333
LogisticRegression_sss_StandardScaler_smote_weighted,0.73,0.39011703511053314,0.9597315435741633,0.8119767779645323
LogisticRegression_sss_StandardScaler_smote_unweighted,0.73,0.39011703511053314,0.9597315435741633,0.8119767779645323
LogisticRegression_skf_StandardScaler_smote_weighted,0.11666666666666667,0.3105590062111801,0.9466666666166667,0.7379861904588984
LogisticRegression_skf_StandardScaler_smote_unweighted,0.11666666666666667,0.3105590062111801,0.9466666666166667,0.7379861904588984
CatBoost_sss_MinMaxScaler_smote_weighted,0.68,0.7334963325183375,0.971524288057204,0.75953809456535
CatBoost_sss_StandardScaler_smote_weighted,0.68,0.7334963325183375,0.971524288057204,0.75953809456535
CatBoost_sss_MaxAbsScaler_smote_weighted,0.68,0.7334963325183375,0.971524288057204,0.75953809456535
CatBoost_tt_MinMaxScaler_smote_unweighted,0.4406779661016949,0.8501440922190202,0.9663299662799686,0.6708095126439709
CatBoost_tt_StandardScaler_smote_unweighted,0.4406779661016949,0.8501440922190202,0.9663299662799686,0.6708095126439709
CatBoost_tt_MaxAbsScaler_smote_unweighted,0.4406779661016949,0.8501440922190202,0.9663299662799686,0.6708095126439709
CatBoost_tt_MinMaxScaler_smote_weighted,0.4,0.8885542168674698,0.964586846493003,0.7091998016326594
CatBoost_tt_StandardScaler_smote_weighted,0.4,0.8885542168674698,0.964586846493003,0.7091998016326594
CatBoost_tt_MaxAbsScaler_smote_weighted,0.4,0.8885542168674698,0.964586846493003,0.7091998016326594
LogisticRegression_skf_MinMaxScaler_smote_weighted,0.15,0.37831021437578816,0.9636963695869687,0.6719680650899609
LogisticRegression_skf_MinMaxScaler_smote_unweighted,0.15,0.37831021437578816,0.9636963695869687,0.6719680650899609
LogisticRegression_skf_MaxAbsScaler_smote_weighted,0.15,0.37831021437578816,0.9636963695869687,0.6719681283858404
LogisticRegression_skf_MaxAbsScaler_smote_unweighted,0.15,0.37831021437578816,0.9636963695869687,0.6719681283858404
LogisticRegression_sss_MinMaxScaler_smote_weighted,0.8666666666666667,0.37082818294190356,0.9523809523309733,0.7404405652040851
LogisticRegression_sss_MinMaxScaler_smote_unweighted,0.8666666666666667,0.37082818294190356,0.9523809523309733,0.7404405652040851
LogisticRegression_sss_MaxAbsScaler_smote_weighted,0.8666666666666667,0.37082818294190356,0.9523809523309733,0.7404415317794851
LogisticRegression_sss_MaxAbsScaler_smote_unweighted,0.8666666666666667,0.37082818294190356,0.9523809523309733,0.7404415317794851
LogisticRegression_tt_MinMaxScaler_smote_weighted,0.29491525423728815,0.39021164021164023,0.9643463496953311,0.7180414193306948
LogisticRegression_tt_MinMaxScaler_smote_unweighted,0.29491525423728815,0.39021164021164023,0.9643463496953311,0.7180414193306948
LogisticRegression_tt_MaxAbsScaler_smote_weighted,0.29491525423728815,0.39021164021164023,0.9643463496953311,0.7180419387350658
LogisticRegression_tt_MaxAbsScaler_smote_unweighted,0.29491525423728815,0.39021164021164023,0.9643463496953311,0.7180419387350658
